review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
strong_single_frame_candidate,1357667285-0063,N1357667285,1357667285,2001-01-08,T3460,1,164.06,271.23,363.49,9,0.15,,0.4375,2001-01-08T17:34:42.137,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357646415-0076,N1357646415,1357646415,2001-01-08,T1411,1,689.56,470.36,305.50,8,0.00,,0.4375,2001-01-08T11:47:24.274,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1358114587-0079,N1358114587,1358114587,2001-01-13,T1725,1,259.57,429.91,229.84,9,0.15,,0.4375,2001-01-13T21:49:41.040,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357628584-0070,N1357628584,1357628584,2001-01-08,T0108,1,939.70,418.53,223.82,11,0.00,,0.4375,2001-01-08T06:49:41.405,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357352003-0194,N1357352003,1357352003,2001-01-05,T0102,1,380.15,543.48,164.61,8,0.00,,0.4375,2001-01-05T02:01:10.293,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357637415-0069,N1357637415,1357637415,2001-01-08,T0712,1,95.74,471.57,284.94,7,0.00,,0.4125,2001-01-08T09:17:24.336,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357665093-0016,N1357665093,1357665093,2001-01-08,T3039,1,807.46,164.30,395.79,6,0.00,,0.3875,2001-01-08T16:59:18.176,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357685285-0112,N1357685285,1357685285,2001-01-08,T4953,1,474.82,382.50,379.47,6,0.00,,0.3875,2001-01-08T22:34:42.013,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357682416-0008,N1357682416,1357682416,2001-01-08,T4326,1,428.07,73.69,317.53,6,0.15,,0.3875,2001-01-08T21:47:25.025,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357685285-0093,N1357685285,1357685285,2001-01-08,T4951,1,504.70,306.29,162.69,6,0.00,,0.3875,2001-01-08T22:34:42.013,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357352003-0192,N1357352003,1357352003,2001-01-05,T0101,1,823.83,535.84,564.80,5,0.15,,0.3625,2001-01-05T02:01:10.293,"Bright and reviewable, but not temporally linked yet."
strong_single_frame_candidate,1357667116-1600,N1357667116,1357667116,2001-01-08,T3427,1,367.96,1009.04,402.78,5,0.15,,0.3625,2001-01-08T17:32:25.131,"Bright and reviewable, but not temporally linked yet."
