review_rank,candidate_id,image_id,run_date,candidate_time,candidate_x,candidate_y,next_action,suggested_label,context_status,context_opus_id,context_time,context_filter,context_duration_seconds,delta_minutes,context_center_resolution_km_px
6,1357885387-0218,N1357885387,2001-01-11,2001-01-11T06:10:14.599,769.65,339.50,confirm_known_validation_mark,known-lightning,nearby_non_hal_context,co-iss-n1357886488,2001-01-11T06:29:43.032,BL1,0.56,19.47,89.33075
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990109,2000-12-31T21:30:07.607,MT3,3.2,4.35,118.57338
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990069,2000-12-31T21:29:29.300,MT2,1.5,4.99,59.28632
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356990032,2000-12-31T21:28:52.904,CB2,1.2,5.60,59.28598
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989995,2000-12-31T21:28:16.420,BL1,0.38,6.21,59.28563
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989779,2000-12-31T21:24:38.209,MT3,2.6,9.84,118.56719
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989739,2000-12-31T21:23:59.302,MT2,1.5,10.49,59.28322
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989702,2000-12-31T21:23:22.915,CB2,1,11.10,59.28288
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989665,2000-12-31T21:22:46.422,BL1,0.38,11.71,59.28254
7,1356990399-0202,N1356990399,2000-12-31,2000-12-31T21:34:28.797,402.62,656.20,priority_temporal_review,uncertain,nearby_non_hal_context,co-iss-n1356989405,2000-12-31T21:18:23.612,MT3,3.2,16.09,118.56018
