blind_id,image_id,run_date,crop_url,x,y,snr,blob_size,artifact_flags_visible,frame_count,motion_consistency,reviewer_label,reviewer_confidence,reviewer_note,needs_second_review
BR-074,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=647&y=332&crop=128,647.43,332.24,18.02,3,,3,0.826,,,,
BR-075,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=180&y=528&crop=128,180.25,527.56,12.51,3,,3,0.671,,,,
BR-076,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=494&y=54&crop=128,493.50,54.00,11.67,4,,3,0.981,,,,
BR-077,N1357352003,2001-01-05,/api/detection-crop?image=1357352003&x=380&y=543&crop=128,380.15,543.48,164.61,8,,1,1.000,,,,
BR-078,N1358105418,2001-01-13,/api/detection-crop?image=1358105418&x=29&y=888&crop=128,28.87,888.11,363.68,17,,1,1.000,,,,
BR-079,N1357811330,2001-01-10,/api/detection-crop?image=1357811330&x=623&y=335&crop=128,623.00,335.00,150.48,1,single_pixel|too_small,1,,,,,
BR-080,N1357685116,2001-01-08,/api/detection-crop?image=1357685116&x=715&y=96&crop=128,715.00,96.00,366.52,1,single_pixel|too_small,1,,,,,
BR-081,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=906&y=155&crop=128,906.18,154.87,255.45,4,,1,1.000,,,,
BR-082,N1357685285,2001-01-08,/api/detection-crop?image=1357685285&x=587&y=221&crop=128,587.04,220.95,205.82,3,,1,1.000,,,,
BR-083,N1358117118,2001-01-13,/api/detection-crop?image=1358117118&x=980&y=140&crop=128,979.81,140.15,184.23,4,,1,1.000,,,,
BR-084,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=613&y=710&crop=128,612.58,709.56,23.17,4,,3,0.920,,,,
BR-085,N1357811330,2001-01-10,/api/detection-crop?image=1357811330&x=402&y=601&crop=128,402.00,601.00,292.83,1,single_pixel|too_small,1,,,,,
BR-086,N1357806858,2001-01-10,/api/detection-crop?image=1357806858&x=623&y=335&crop=128,623.00,335.00,152.87,1,single_pixel|too_small,1,,,,,
BR-087,N1357673416,2001-01-08,/api/detection-crop?image=1357673416&x=159&y=815&crop=128,158.93,814.90,178.46,4,,1,1.000,,,,
BR-088,N1357658284,2001-01-08,/api/detection-crop?image=1357658284&x=731&y=735&crop=128,731.00,735.00,126.73,1,single_pixel|too_small,1,,,,,
BR-089,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=735&y=946&crop=128,734.98,945.68,8.34,3,,3,0.685,,,,
BR-090,N1357029177,2001-01-01,/api/detection-crop?image=1357029177&x=847&y=402&crop=128,847.00,402.23,24.75,13,,1,1.000,,,,
BR-091,N1357352003,2001-01-05,/api/detection-crop?image=1357352003&x=731&y=735&crop=128,731.00,735.00,150.99,1,single_pixel|too_small,1,,,,,
BR-092,N1357682416,2001-01-08,/api/detection-crop?image=1357682416&x=428&y=74&crop=128,428.07,73.69,317.53,6,,1,1.000,,,,
BR-093,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=730&y=432&crop=128,730.33,432.12,36.45,4,,3,0.922,,,,
BR-094,N1356976983,2000-12-31,/api/detection-crop?image=1356976983&x=63&y=481&crop=128,62.82,480.68,31.42,4,,3,0.972,,,,
BR-095,N1357673585,2001-01-08,/api/detection-crop?image=1357673585&x=98&y=90&crop=128,98.12,89.79,250.98,3,,1,1.000,,,,
BR-096,N1357810970,2001-01-10,/api/detection-crop?image=1357810970&x=952&y=333&crop=128,951.80,333.08,8.14,15,,1,1.000,,,,
BR-097,N1357667285,2001-01-08,/api/detection-crop?image=1357667285&x=164&y=271&crop=128,164.06,271.23,363.49,9,,1,1.000,,,,
BR-098,N1357674094,2001-01-08,/api/detection-crop?image=1357674094&x=317&y=480&crop=128,316.82,479.90,203.84,5,,1,1.000,,,,
BR-099,N1356976983,2000-12-31,/api/detection-crop?image=1356976983&x=389&y=312&crop=128,389.49,311.88,19.69,4,,3,0.739,,,,
BR-100,N1357649284,2001-01-08,/api/detection-crop?image=1357649284&x=731&y=735&crop=128,731.00,735.00,127.78,1,single_pixel|too_small,1,,,,,
BR-101,N1356981455,2000-12-31,/api/detection-crop?image=1356981455&x=344&y=791&crop=128,343.62,791.13,38.33,10,,3,0.781,,,,
BR-102,N1358108287,2001-01-13,/api/detection-crop?image=1358108287&x=402&y=601&crop=128,402.00,601.00,151.10,1,single_pixel|too_small,1,,,,,
BR-103,N1357885387,2001-01-11,/api/detection-crop?image=1357885387&x=776&y=318&crop=128,776.00,318.00,7.50,1,single_pixel|too_small,1,,,,,
BR-104,N1356985927,2000-12-31,/api/detection-crop?image=1356985927&x=835&y=499&crop=128,835.23,498.82,24.92,3,,3,0.950,,,,
BR-105,N1356990399,2000-12-31,/api/detection-crop?image=1356990399&x=218&y=235&crop=128,218.44,234.51,46.05,4,,3,0.840,,,,
BR-106,N1358114587,2001-01-13,/api/detection-crop?image=1358114587&x=623&y=585&crop=128,622.86,585.04,178.89,3,,1,1.000,,,,
