run_date,track_id,frame_count,first_frame_index,last_frame_index,first_image_id,last_image_id,start_time,end_time,start_x,start_y,end_x,end_y,net_dx_px,net_dy_px,median_x,median_y,median_peak_snr,mean_step_px,step_cv,motion_consistency,candidate_score,reason,candidate_ids
2000-12-31,T0060,2,1,2,N1356977373,N1356977733,2000-12-31T17:57:22.887,2000-12-31T18:03:22.885,732.41,783.78,726.54,743.95,-5.87,-39.83,729.47,763.87,70.30,40.26,0.000,1.000,0.6375,"2 frame(s); median area 9.5 px; net motion dx=-5.9, dy=-39.8; flags: none",1356977373-0265|1356977733-0349
2000-12-31,T0148,2,3,4,N1356981455,N1356981845,2000-12-31T19:05:24.859,2000-12-31T19:11:54.857,63.77,673.19,43.56,604.15,-20.21,-69.04,53.67,638.67,32.53,71.94,0.000,1.000,0.6375,"2 frame(s); median area 8.0 px; net motion dx=-20.2, dy=-69.0; flags: none",1356981455-0244|1356981845-0193
2000-12-31,T0170,2,4,5,N1356981845,N1356982205,2000-12-31T19:11:54.857,2000-12-31T19:17:54.854,213.61,496.66,194.71,463.28,-18.90,-33.38,204.16,479.97,39.00,38.36,0.000,1.000,0.6375,"2 frame(s); median area 8.0 px; net motion dx=-18.9, dy=-33.4; flags: none",1356981845-0152|1356982205-0223
2000-12-31,T0258,2,6,7,N1356985927,N1356986317,2000-12-31T20:19:56.828,2000-12-31T20:26:26.826,454.96,718.06,433.09,732.22,-21.87,14.16,444.02,725.14,39.95,26.05,0.000,1.000,0.6375,"2 frame(s); median area 8.0 px; net motion dx=-21.9, dy=14.2; flags: none",1356985927-0251|1356986317-0274
2000-12-31,T0295,2,7,8,N1356986317,N1356986677,2000-12-31T20:26:26.826,2000-12-31T20:32:26.823,1020.68,425.49,969.18,447.18,-51.50,21.69,994.93,436.34,35.08,55.88,0.000,1.000,0.6375,"2 frame(s); median area 11.0 px; net motion dx=-51.5, dy=21.7; flags: none",1356986317-0151|1356986677-0226
2000-12-31,T0343,2,9,10,N1356990399,N1356990789,2000-12-31T21:34:28.797,2000-12-31T21:40:58.795,112.26,446.59,84.56,402.51,-27.70,-44.08,98.41,424.55,44.34,52.06,0.000,1.000,0.6375,"2 frame(s); median area 13.5 px; net motion dx=-27.7, dy=-44.1; flags: none",1356990399-0124|1356990789-0138
2000-12-31,T0232,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,160.28,454.34,214.88,430.92,54.60,-23.42,184.37,445.68,12.92,29.75,0.139,0.861,0.6301,"3 frame(s); median area 3.0 px; net motion dx=54.6, dy=-23.4; flags: none",1356985927-0147|1356986317-0161|1356986677-0220
2000-12-31,T0218,2,6,7,N1356985927,N1356986317,2000-12-31T20:19:56.828,2000-12-31T20:26:26.826,864.41,156.12,850.81,169.36,-13.60,13.24,857.61,162.74,48.95,18.98,0.000,1.000,0.6250,"2 frame(s); median area 7.5 px; net motion dx=-13.6, dy=13.2; flags: none",1356985927-0041|1356986317-0065
2000-12-31,T0374,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,384.29,311.21,414.55,305.37,30.26,-5.84,399.42,308.29,58.09,30.82,0.000,1.000,0.6250,"2 frame(s); median area 7.5 px; net motion dx=30.3, dy=-5.8; flags: none",1356990789-0095|1356991149-0205
2000-12-31,T0279,3,6,8,N1356985927,N1356986677,2000-12-31T20:19:56.828,2000-12-31T20:32:26.823,94.46,875.23,131.15,869.37,36.69,-5.86,94.46,872.07,20.32,38.96,0.469,0.531,0.6173,"3 frame(s); median area 4.0 px; net motion dx=36.7, dy=-5.9; flags: none",1356985927-0399|1356986317-0338|1356986677-0396
2000-12-31,T0386,2,10,11,N1356990789,N1356991149,2000-12-31T21:40:58.795,2000-12-31T21:46:58.792,113.12,910.18,58.78,922.90,-54.34,12.72,85.95,916.54,70.20,55.81,0.000,1.000,0.6125,"2 frame(s); median area 7.0 px; net motion dx=-54.3, dy=12.7; flags: none",1356990789-0356|1356991149-0495
