run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-01,T0341,3,N1357023955,N1357024705,24.57,52.99,0.885,0.7061,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357023955-0187|1357024345-0167|1357024705-0248
2001-01-10,T0270,3,N1357806108,N1357806858,12.36,60.10,0.968,0.7036,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357806108-0083|1357806498-0052|1357806858-0037
2001-01-01,T0663,3,N1357037371,N1357038121,20.08,57.29,0.980,0.7029,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357037371-0218|1357037761-0186|1357038121-0260
2001-01-08,T4811,3,N1357685116,N1357685794,11.15,13.11,0.994,0.7028,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357685116-0408|1357685285-0504|1357685794-0138
2001-01-01,T0651,3,N1357037371,N1357038121,26.91,72.80,0.860,0.7024,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357037371-0133|1357037761-0148|1357038121-0190
2001-01-11,T0353,3,N1357909609,N1357910359,10.80,67.30,0.999,0.7021,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357909609-0040|1357909999-0088|1357910359-0029
2000-12-31,T0359,3,N1356990399,N1356991149,43.14,44.34,0.857,0.7018,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1356990399-0263|1356990789-0352|1356991149-0504
2001-01-05,T0390,3,N1357378446,N1357379196,12.49,53.62,0.755,0.7013,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1357378446-0022|1357378836-0036|1357379196-0068
2001-01-01,T0347,3,N1357023955,N1357024705,15.90,75.84,0.968,0.7000,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357023955-0241|1357024345-0245|1357024705-0296
2001-01-13,T0455,3,N1358063118,N1358063796,11.67,13.67,0.969,0.6997,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358063118-0285|1358063287-0346|1358063796-0147
2001-01-01,T0661,3,N1357037371,N1357038121,20.22,40.61,0.862,0.6993,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357037371-0199|1357037761-0171|1357038121-0233
2001-01-08,T0351,3,N1357631115,N1357631793,11.77,23.62,0.864,0.6991,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357631115-0371|1357631284-0403|1357631793-0195
2001-01-01,T0125,3,N1357015011,N1357015761,15.30,62.37,0.776,0.6983,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1357015011-0416|1357015401-0266|1357015761-0340
2001-01-05,T0224,3,N1357365030,N1357365780,14.86,73.52,0.986,0.6983,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357365030-0033|1357365420-0056|1357365780-0093
2001-01-08,T2227,3,N1357655415,N1357656093,10.40,33.21,0.790,0.6974,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1357655415-1157|1357655584-0748|1357656093-1141
2001-01-08,T1492,3,N1357646415,N1357647093,11.85,56.87,0.753,0.6970,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1357646415-3224|1357646584-1448|1357647093-2657
2000-12-31,T0155,3,N1356981455,N1356982205,18.92,65.48,0.781,0.6962,strong_temporal_review,appears in 3+ frames; moderate step consistency; moderate SNR,1356981455-0275|1356981845-0275|1356982205-0325
2001-01-10,T0264,3,N1357806108,N1357806858,11.48,31.55,0.859,0.6962,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357806108-0044|1357806498-0053|1357806858-0051
