candidate_id,image_id,run_date,review_batch,x,y,geometry_readiness,subobserver_lon_w,subsolar_lon_w,center_resolution_km_px,latitude_bounds,longitude_w_bounds,required_method,next_step
1357665093-0016,N1357665093,2001-01-08,04_strong_single_frame_check,807.46,164.30,image_bounds_only,100.936,204.594,78.98272,17.069..85.181,93.44..182.487,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0112,N1357685285,2001-01-08,04_strong_single_frame_check,474.82,382.50,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357682416-0008,N1357682416,2001-01-08,04_strong_single_frame_check,428.07,73.69,image_bounds_only,274.648,18.93,79.74628,-86.933..-20.091,290.197..22.031,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0093,N1357685285,2001-01-08,04_strong_single_frame_check,504.70,306.29,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357352003-0192,N1357352003,2001-01-05,04_strong_single_frame_check,823.83,535.84,frame_context_only,200.379,290.418,66.98342,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357667116-1600,N1357667116,2001-01-08,04_strong_single_frame_check,367.96,1009.04,image_bounds_only,121.062,224.793,79.07074,16.773..84.438,118.201..196.696,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357674094-0052,N1357674094,2001-01-08,04_strong_single_frame_check,316.82,479.90,image_bounds_only,191.289,295.273,79.3788,17.074..83.318,188.713..274.937,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357638093-0061,N1357638093,2001-01-08,04_strong_single_frame_check,717.61,548.63,image_bounds_only,189.929,292.588,77.80895,16.812..83.335,187.486..274.485,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667285-0006,N1357667285,2001-01-08,05_low_priority_hold,164.95,31.31,image_bounds_only,122.598,226.334,79.07746,17.212..85.95,102.686..198.753,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357667794-0108,N1357667794,2001-01-08,05_low_priority_hold,895.25,681.83,image_bounds_only,128.049,231.805,79.10133,16.854..84.678,123.85..200.79,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0055,N1357685285,2001-01-08,05_low_priority_hold,906.18,154.87,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357664584-0715,N1357664584,2001-01-08,05_low_priority_hold,153.93,752.40,image_bounds_only,95.486,199.123,78.9589,17.149..86.25,83.444..178.612,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358117118-0033,N1358117118,2001-01-13,05_low_priority_hold,979.81,140.15,image_bounds_only,321.715,78.24,101.15423,-84.29..-11.907,349.066..56.509,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357673416-1543,N1357673416,2001-01-08,05_low_priority_hold,158.93,814.90,image_bounds_only,184.302,288.261,79.34809,17.092..83.391,182.314..264.71,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357673585-0019,N1357673585,2001-01-08,05_low_priority_hold,98.12,89.79,image_bounds_only,185.838,289.802,79.35484,17.296..84.407,182.527..270.712,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0071,N1357685285,2001-01-08,05_low_priority_hold,587.04,220.95,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357646584-0889,N1357646584,2001-01-08,05_low_priority_hold,616.14,779.43,image_bounds_only,274.811,17.786,78.17424,-84.719..-19.413,288.941..8.384,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358114587-0121,N1358114587,2001-01-13,05_low_priority_hold,622.86,585.04,image_bounds_only,296.112,52.581,101.01918,-84.435..-10.49,323.39..35.467,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358117287-0242,N1358117287,2001-01-13,05_low_priority_hold,731.00,735.00,image_bounds_only,323.253,79.781,101.16235,-83.573..-11.751,350.549..56.438,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358108118-0149,N1358108118,2001-01-13,05_low_priority_hold,402.00,601.00,image_bounds_only,231.245,347.571,100.67738,7.323..82.887,243.407..307.599,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358108287-0236,N1358108287,2001-01-13,05_low_priority_hold,731.00,735.00,image_bounds_only,232.783,349.113,100.68548,7.524..83.398,242.913..306.84,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685285-0216,N1357685285,2001-01-08,05_low_priority_hold,731.00,735.00,image_bounds_only,303.288,47.672,79.87299,-85.004..-20.972,318.909..36.268,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358063118-0152,N1358063118,2001-01-13,05_low_priority_hold,402.00,601.00,image_bounds_only,138.92,254.23,98.30992,7.22..83.569,146.312..212.411,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357685116-0155,N1357685116,2001-01-08,05_low_priority_hold,402.00,601.00,image_bounds_only,301.752,46.13,79.86619,-86.394..-21.196,317.408..41.102,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1358063287-0234,N1358063287,2001-01-13,05_low_priority_hold,731.00,735.00,image_bounds_only,140.458,255.771,98.31792,6.866..85.778,136.4..220.607,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1356981845-0194,N1356981845,2000-12-31,05_low_priority_hold,402.00,601.00,frame_context_only,93.141,161.284,59.21139,,,camera_spice_projection,Use camera/SPICE projection; OPUS bounds are unavailable locally for this frame.
1357649284-0201,N1357649284,2001-01-08,05_low_priority_hold,731.00,735.00,image_bounds_only,301.911,44.986,78.29132,-86.958..-20.902,316.249..48.364,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
1357658284-0216,N1357658284,2001-01-08,05_low_priority_hold,731.00,735.00,image_bounds_only,32.248,135.655,78.68317,-84.017..-20.805,46.907..128.246,camera_spice_projection,Use camera/SPICE projection to map candidate x/y inside the image bounds.
