image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1358105418,T1030,1358105418-0527,0.4417,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,733.42,803.12,11.09,3,0.00,3,11.09,8.80,26.41,1.26,4.39,,"2 frame(s); median area 3.5 px; net motion dx=-51.4, dy=-9.8; flags: none"
N1358106096,T1030,1358106096-0332,0.4417,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,682.05,793.31,11.14,4,0.00,4,11.14,9.40,37.60,1.19,1.62,,"2 frame(s); median area 3.5 px; net motion dx=-51.4, dy=-9.8; flags: none"
N1358069418,T0681,1358069418-0236,0.4412,2,6,co-iss-n1358069418,1358069418,2001-01-13T09:17:24.345,620.17,739.01,8.90,5,0.00,5,8.90,8.15,40.77,1.09,1.62,,"2 frame(s); median area 4.0 px; net motion dx=-1.5, dy=-7.3; flags: none"
N1358069587,T0681,1358069587-0260,0.4412,2,7,co-iss-n1358069587,1358069587,2001-01-13T09:19:41.351,618.63,731.67,9.00,3,0.00,3,9.00,8.09,24.26,1.11,1.73,,"2 frame(s); median area 4.0 px; net motion dx=-1.5, dy=-7.3; flags: none"
N1358101818,T0955,1358101818-0568,0.4410,2,9,co-iss-n1358101818,1358101818,2001-01-13T18:17:24.120,876.53,832.50,10.24,4,0.00,4,10.24,9.69,38.76,1.06,1.00,,"2 frame(s); median area 3.5 px; net motion dx=78.2, dy=-9.1; flags: none"
N1358101987,T0955,1358101987-0532,0.4410,2,10,co-iss-n1358101987,1358101987,2001-01-13T18:19:41.127,954.77,823.38,11.77,3,0.00,3,11.77,10.17,30.52,1.16,1.73,,"2 frame(s); median area 3.5 px; net motion dx=78.2, dy=-9.1; flags: none"
N1358110818,T1555,1358110818-0527,0.4408,2,17,co-iss-n1358110818,1358110818,2001-01-13T20:47:24.058,871.28,816.64,10.37,3,0.00,3,10.37,9.54,28.62,1.09,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-10.8, dy=-25.1; flags: none"
N1358110987,T1555,1358110987-0463,0.4408,2,18,co-iss-n1358110987,1358110987,2001-01-13T20:49:41.065,860.50,791.58,11.56,4,0.00,4,11.56,9.98,39.90,1.16,1.00,,"2 frame(s); median area 3.5 px; net motion dx=-10.8, dy=-25.1; flags: none"
N1358105418,T1036,1358105418-0625,0.4402,2,11,co-iss-n1358105418,1358105418,2001-01-13T19:17:24.095,799.41,816.78,9.63,4,0.00,4,9.63,8.50,33.99,1.13,4.47,,"2 frame(s); median area 3.5 px; net motion dx=-34.8, dy=10.5; flags: none"
N1358106096,T1036,1358106096-0634,0.4402,2,13,co-iss-n1358106096,1358106096,2001-01-13T19:29:18.122,764.61,827.31,12.09,3,0.00,3,12.09,10.29,30.88,1.17,1.73,,"2 frame(s); median area 3.5 px; net motion dx=-34.8, dy=10.5; flags: none"
